"Station Name","Org Name","MAC Address","System S/N","Address 1","Address 2","Floor Label",City,State,"Zip/Postal Code",County,"Country ","Activation Status","Network Status","Station Status","Port 1 Status","Port 2 Status","No. of Ports","Pricing Policy Name",Reservations,"Station Message",Enabled,"Station Activation Type","Usable By","Visibility (Access Policy Name)","Radio Group Name","Customer Category","Customer Subcategory","Circuit Sharing","Currency Name","Power Select / AC Breaker Rating","Scheduled Charging Policy Name",Warranty,"Station Activation Date","Warranty Expiration Date","Warranty Service","Device Access Restriction","Waitlist Policy Name","Asset Tag ID","Meter ID","Service Delivery Point ID","Point of Service ID","Account ID","Circuit ID","Panel ID","Customer Name","Customer ID","Site Validation Status",Paired
"SRWC / RWC L5 3","Stanford University",0024:B100:0002:A917,175241017410,"425 Broadway",,L5,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,,1,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L5",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 05:56:15",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L5 2","Stanford University",0024:B100:0003:1F95,184541028755,"2850 Bay Rd",,L5,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,,1,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L5",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:53:15",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L5 1","Stanford University",0024:B100:0002:9194,173641010743,"2850 Bay Rd",,L5,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L5",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:49:16",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L4 4","Stanford University",0024:B100:0002:8E49,173441009989,"425 Broadway",,L4,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,"In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L4",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:35:19",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L4 3","Stanford University",0024:B100:0002:8FD1,173541010301,"425 Broadway",,L4,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L4",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 05:44:19",2020-03-15,,NONE,,,,,,,,,"The Board of Trustees of The Leland Stanford Junior University",0014000000kfOC5,Validated,No
"SRWC / RWC L4 2","Stanford University",0024:B100:0002:8E36,173441009990,"425 Broadway",,L4,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L4",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:39:16",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L4 1","Stanford University",0024:B100:0002:8E37,173441010008,"2850 Bay Rd",,L4,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L4",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:37:20",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L3 4","Stanford University",0024:B100:0002:8E28,173441009974,"425 Broadway",,,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,"In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L3",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:45:14",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L3 3","Stanford University",0024:B100:0002:8E02,173541010298,"2858 Bay Rd",,L3,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,"Needs Service","Needs Service","Needs Service",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L3",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 05:38:11",2020-03-15,,NONE,,,,,,,,,"The Board of Trustees of The Leland Stanford Junior University",0014000000kfOC5,Validated,No
"SRWC / RWC L3 2","Stanford University",0024:B100:0002:91C3,173641010752,"2850 Bay Rd",,L3,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,"In Use",Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L3",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:47:15",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L3 1","Stanford University",0024:B100:0002:918F,173641010749,"2850 Bay Rd",,L3,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L3",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:43:15",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L2 4","Stanford University",0024:B100:0002:8E2F,173441009983,"425 Broadway",,L2,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L2",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:39:14",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L2 3","Stanford University",0024:B100:0002:8E27,173441009973,"425 Broadway",,L2,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,"In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L2",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:35:18",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L2 2","Stanford University",0024:B100:0002:8FCA,173541010306,"425 Broadway",,L2,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L2",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 05:36:14",2020-03-15,,NONE,,,,,,,,,"The Board of Trustees of The Leland Stanford Junior University",0014000000kfOC5,Validated,No
"SRWC / RWC L2 1","Stanford University",0024:B100:0002:8E2C,173441009984,"2850 Bay Rd",,L2,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L2",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:37:13",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L1 6","Stanford University",0024:B100:0002:B04A,180241000629,"425 Broadway",,L1,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,,1,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L1",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 05:34:14",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L1 5","Stanford University",0024:B100:0002:919B,173641010742,"425 Broadway",,L1,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,"In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L1",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:43:16",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L1 4","Stanford University",0024:B100:0002:AE14,175241017163,"2850 Bay Rd",,L1,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L1",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:49:14",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L1 3","Stanford University",0024:B100:0002:AD71,175141017015,"2850 Bay Rd",,,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L1",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:39:15",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L1 2","Stanford University",0024:B100:0002:9202,173641010746,"2850 Bay Rd",,,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L1",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:47:14",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L1 1","Stanford University",0024:B100:0002:594F,164041005488,"2850 Bay Rd",,L1,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L1",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:45:15",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC B1 4","Stanford University",0024:B100:0002:8DDC,173441009933,"425 Broadway",,B1,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC B1",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 05:54:18",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC B1 3","Stanford University",0024:B100:0003:9836,164741006937,"425 Broadway",,B1,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC B1",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 05:22:14",2020-03-15,,NONE,,,,,,,,,"The Board of Trustees of The Leland Stanford Junior University",0014000000kfOC5,Validated,No
"SRWC / RWC B1 2","Stanford University",0024:B100:0002:9193,173641010737,"2850 Bay Rd",,B1,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC B1",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 05:52:14",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC B1 1","Stanford University",0024:B100:0002:8E4A,173441009991,"2850 Bay Rd",,,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,"In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC B1",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 05:56:13",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / CHARGER 5","Stanford University",000D:6F00:04F8:B0AC,37569,"585 Broadway",,,"Redwood City",California,94063,,"United States",Activated,Unreachable,"Watch List","Watch List",,1,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Broadway GW2",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2020-11-11 06:56:36",2021-11-11,,NONE,,,,,,,,,,,"Not Validated",No
"SRWC / CHARGER 4","Stanford University",0024:B100:0002:5752,163841004932,"900-998 Douglas Ave",,,"Redwood City",California,94063,"San Mateo County","United States",Activated,Unreachable,"Needs Service","Needs Service",,1,"Stanford University Mirrored",Disabled,"Plugged In Required",Yes,Public,"Stanford University Mirrored","Stanford University Mirrored","Broadway GW1",Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2017-03-23 17:38:00",2018-03-23,,NONE,,,,,,,,,"Stanford University",0014000000kfOC5,"Not Validated",No
"SRWC / CHARGER 3","Stanford University",0024:B100:0002:575E,163841004941,"585 Broadway",,,"Redwood City",California,94063,"San Mateo County","United States",Activated,Unreachable,"Needs Service","Needs Service",,1,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Broadway GW1",Education,"University / College",Disabled,"U.S. Dollars (USD)",30A,,"Standard Warranty","2017-03-23 17:37:23",2018-03-23,,NONE,,,,,,,,,"Stanford University",0014000000kfOC5,"Not Validated",No
"SRWC / CHARGER 2","Stanford University",0024:B100:0002:5144,162741003523,"585 Broadway",,,"Redwood City",California,94063,"San Mateo County","United States",Activated,Unreachable,"Needs Service","Needs Service",,1,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Broadway GW1",Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2017-03-23 16:35:37",2018-03-23,,NONE,,,,,,,,,"Stanford University",0014000000kfOC5,"Not Validated",No
"SRWC / CHARGER 1","Stanford University",0024:B100:0002:4AEB,153441003891,"585 Broadway",,,"Redwood City",California,94063,"San Mateo County","United States",Activated,Unreachable,"Needs Service","Needs Service",,1,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Broadway GW1",Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"Standard Warranty","2020-02-11 13:52:31",2021-02-11,,NONE,,,,,,,,,,,"Not Validated",No
"ROBLE / ROBLE LL2-9","Stanford University",0024:B100:0002:295F,152541002783,"373 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Roble LL2 Group 2",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-31 15:24:07",2023-12-31,"Parts & Labor",NONE,,152541002783,,,,,,,,,Validated,No
"ROBLE / ROBLE LL2-8","Stanford University",0024:B100:0002:2A8E,152741003076,"373 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Roble LL2 Group 2",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-31 14:43:12",2023-12-31,"Parts & Labor",NONE,,152741003076,,,,,,,,,Validated,No
"ROBLE / ROBLE LL2-7","Stanford University",0024:B100:0002:2A74,152741003072,"373 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,"In Use",Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","LL2 Group 1",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-31 15:24:08",2023-12-31,"Parts & Labor",NONE,,152741003072,,,,,,,,,Validated,No
"ROBLE / ROBLE LL2-6","Stanford University",0024:B100:0002:2A6B,152741003068,"373 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","LL2 Group 1",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-31 15:20:58",2023-12-31,"Parts & Labor",NONE,,152741003068,,,,,,,,,Validated,No
"ROBLE / ROBLE LL2-5","Stanford University",0024:B100:0002:2A70,152741003081,"373 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","LL2 Group 1",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-02-01 03:56:40",2023-12-31,"Parts & Labor",NONE,,152741003081,,,,,,,,,Validated,No
"ROBLE / ROBLE LL2-4","Stanford University",0024:B100:0002:2A80,152741003082,"287 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","LL2 Group 1",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-31 15:27:12",2023-12-31,"Parts & Labor",NONE,,152741003082,,,,,,,,,Validated,No
"ROBLE / ROBLE LL2-3","Stanford University",0024:B100:0002:2955,152541002779,"287 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Roble LL2 Group 2",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-27 17:27:15",2023-12-31,"Parts & Labor",NONE,,152541002779,,,,,,,,,Validated,No
"ROBLE / ROBLE LL2-2","Stanford University",0024:B100:0002:297C,152541002807,"287 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,"In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Roble LL2 Group 2",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-27 18:33:32",2023-12-31,"Parts & Labor",NONE,,152541002807,,,,,,,,,Validated,No
"ROBLE / ROBLE LL2-14","Stanford University",0024:B100:0002:5154,162841003554,"373 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","LL2 Group 1",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-27 13:18:14",2023-12-31,"Parts & Labor",NONE,,162841003554,,,,,,,,,Validated,No
"ROBLE / ROBLE LL2-13","Stanford University",0024:B100:0002:294E,152541002762,"373 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","LL2 Group 1",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-27 13:30:53",2023-12-31,"Parts & Labor",NONE,,152541002762,,,,,,,,,Validated,No
"ROBLE / ROBLE LL2-11","Stanford University",0024:B100:0002:2A7B,152741003077,"375 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Roble LL2 Group 2",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-31 16:36:41",2023-12-31,"Parts & Labor",NONE,,152741003077,,,,,,,,,Validated,No
"ROBLE / ROBLE LL2-10","Stanford University",0024:B100:0002:2A71,152741003079,"375 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,"In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Roble LL2 Group 2",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-02-01 02:20:56",2023-12-31,"Parts & Labor",NONE,,152741003079,,,,,,,,,Validated,No
"ROBLE / ROBLE LL2-1","Stanford University",0024:B100:0002:5134,162741003546,"373 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Roble LL2 Group 2",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-27 16:59:07",2023-12-31,"Parts & Labor",NONE,,162741003546,,,,,,,,,Validated,No
"ROBLE / ROBLE LL1-DIS","Stanford University",0024:B100:0002:299E,152641002898,"375 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Roble LL1 Group 2",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-27 15:02:08",2023-12-31,"Parts & Labor",NONE,,152641002898,,,,,,,,,Validated,No
"ROBLE / ROBLE LL1-9","Stanford University",0024:B100:0004:5D08,183441017415,"287 Santa Teresa St",,1,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",RG_00045D08,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-26 17:26:13",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"ROBLE / ROBLE LL1-8","Stanford University",0024:B100:0002:2A7C,152741003088,"287 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Roble LL1 Group 1",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-26 17:35:38",2023-12-31,"Parts & Labor",NONE,,152741003088,,,,,,,,,Validated,No
"ROBLE / ROBLE LL1-7","Stanford University",0024:B100:0002:2940,152541002775,"287 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Roble LL1 Group 1",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-26 17:45:11",2023-12-31,"Parts & Labor",NONE,,152541002775,,,,,,,,,Validated,No
"ROBLE / ROBLE LL1-6","Stanford University",0024:B100:0002:2954,152541002778,"287 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Needs Service","Needs Service","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Roble LL1 Group 1",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-26 17:32:28",2023-12-31,"Parts & Labor",NONE,,152541002778,,,,,,,,,Validated,No
"ROBLE / ROBLE LL1-5","Stanford University",0024:B100:0003:D5D6,200441003033,"671-725 Panama St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",RG_0003D5D6,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-26 18:10:23",2023-12-31,"Parts & Labor",NONE,,152641002895,,,,,,,,,Validated,No
"ROBLE / ROBLE LL1-4","Stanford University",0024:B100:0003:D26F,200341002120,"373 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",RG_0003D26F,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-26 17:48:17",2023-12-31,"Parts & Labor",NONE,,152541002782,,,,,,,,,Validated,No
"ROBLE / ROBLE LL1-3","Stanford University",0024:B100:0002:2A73,152741003075,"373 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Roble LL1 Group 1",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-26 17:29:23",2023-12-31,"Parts & Labor",NONE,,152741003075,,,,,,,,,Validated,No
"ROBLE / ROBLE LL1-2","Stanford University",0024:B100:0004:20C4,185141033955,"373 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",RG_000420C4,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-26 17:51:26",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"ROBLE / ROBLE LL1-12","Stanford University",0024:B100:0004:0EC1,172641007698,"287 Santa Teresa St",,1,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Roble LL1 Group 1",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-26 14:33:33",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"ROBLE / ROBLE LL1-11","Stanford University",0024:B100:0002:3F5A,155141008435,"287 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Roble LL1 Group 1",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-26 15:27:05",2023-12-31,"Parts & Labor",NONE,,155141008435,,,,,,,,,Validated,No
"ROBLE / ROBLE LL1-10","Stanford University",0024:B100:0004:5CE8,164941007425,"373 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",RG_00045CE8,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-01-31 15:17:50",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
